,bs,time_hour,users
0,0,1345305600,0
1,0,1345309200,0
2,0,1345312800,0
3,0,1345316400,1
4,0,1345320000,2
5,0,1345323600,2
6,0,1345327200,1
7,0,1345330800,2
8,0,1345334400,2
9,0,1345338000,0
10,0,1345341600,1
11,0,1345345200,0
12,0,1345348800,1
13,0,1345352400,2
14,0,1345356000,1
15,0,1345359600,2
16,0,1345363200,2
17,0,1345366800,1
18,0,1345370400,1
19,0,1345374000,1
20,0,1345377600,1
21,0,1345381200,1
22,0,1345384800,1
23,0,1345388400,1
24,0,1345392000,1
25,0,1345395600,1
26,0,1345399200,0
27,0,1345402800,0
28,0,1345406400,1
29,0,1345410000,1
30,0,1345413600,1
31,0,1345417200,1
32,0,1345420800,1
33,0,1345424400,1
34,0,1345428000,2
35,0,1345431600,2
36,0,1345435200,2
37,0,1345438800,1
38,0,1345442400,2
39,0,1345446000,1
40,0,1345449600,1
41,0,1345453200,1
42,0,1345456800,1
43,0,1345460400,1
44,0,1345464000,1
45,0,1345467600,2
46,0,1345471200,2
47,0,1345474800,1
48,0,1345478400,1
49,0,1345482000,1
50,0,1345485600,0
51,0,1345489200,0
52,0,1345492800,1
53,0,1345496400,0
54,0,1345500000,1
55,0,1345503600,1
56,0,1345507200,1
57,0,1345510800,0
58,0,1345514400,1
59,0,1345518000,2
60,0,1345521600,2
61,0,1345525200,2
62,0,1345528800,1
63,0,1345532400,2
64,0,1345536000,2
65,0,1345539600,1
66,0,1345543200,3
67,0,1345546800,1
68,0,1345550400,2
69,0,1345554000,1
70,0,1345557600,2
71,0,1345561200,1
72,0,1345564800,1
73,0,1345568400,1
74,0,1345572000,0
75,0,1345575600,0
76,0,1345579200,0
77,0,1345582800,1
78,0,1345586400,0
79,0,1345590000,2
80,0,1345593600,1
81,0,1345597200,0
82,0,1345600800,1
83,0,1345604400,1
84,0,1345608000,1
85,0,1345611600,1
86,0,1345615200,2
87,0,1345618800,3
88,0,1345622400,1
89,0,1345626000,1
90,0,1345629600,1
91,0,1345633200,2
92,0,1345636800,2
93,0,1345640400,1
94,0,1345644000,0
95,0,1345647600,1
96,0,1345651200,1
97,0,1345654800,1
98,0,1345658400,0
99,0,1345662000,0
100,0,1345665600,0
101,0,1345669200,1
102,0,1345672800,0
103,0,1345676400,2
104,0,1345680000,2
105,0,1345683600,2
106,0,1345687200,1
107,0,1345690800,1
108,0,1345694400,1
109,0,1345698000,1
110,0,1345701600,1
111,0,1345705200,2
112,0,1345708800,2
113,0,1345712400,1
114,0,1345716000,1
115,0,1345719600,2
116,0,1345723200,1
117,0,1345726800,2
118,0,1345730400,2
119,0,1345734000,1
120,0,1345737600,1
121,0,1345741200,1
122,0,1345744800,1
123,0,1345748400,0
124,0,1345752000,0
125,0,1345755600,1
126,0,1345759200,1
127,0,1345762800,2
128,0,1345766400,2
129,0,1345770000,2
130,0,1345773600,1
131,0,1345777200,1
132,0,1345780800,1
133,0,1345784400,1
134,0,1345788000,2
135,0,1345791600,3
136,0,1345795200,1
137,0,1345798800,1
138,0,1345802400,1
139,0,1345806000,1
140,0,1345809600,1
141,0,1345813200,2
142,0,1345816800,1
143,0,1345820400,0
144,0,1345824000,0
145,0,1345827600,0
146,0,1345831200,0
147,0,1345834800,1
148,0,1345838400,0
149,0,1345842000,2
150,0,1345845600,2
151,0,1345849200,3
152,0,1345852800,2
153,0,1345856400,0
154,0,1345860000,1
155,0,1345863600,0
156,0,1345867200,1
157,0,1345870800,2
158,0,1345874400,1
159,0,1345878000,3
160,0,1345881600,1
161,0,1345885200,1
162,0,1345888800,1
163,0,1345892400,1
164,0,1345896000,1
165,0,1345899600,1
166,0,1345903200,1
167,0,1345906800,1
168,0,1345910400,0
169,0,1345914000,0
170,0,1345917600,1
171,0,1345921200,1
172,0,1345924800,0
173,0,1345928400,2
174,0,1345932000,1
175,0,1345935600,2
176,0,1345939200,2
177,0,1345942800,2
178,0,1345946400,2
179,0,1345950000,1
180,0,1345953600,1
181,0,1345957200,2
182,0,1345960800,1
183,0,1345964400,3
184,0,1345968000,1
185,0,1345971600,1
186,0,1345975200,1
187,0,1345978800,1
188,0,1345982400,1
189,0,1345986000,1
190,0,1345989600,1
191,0,1345993200,1
192,1,1345305600,0
193,1,1345309200,0
194,1,1345312800,0
195,1,1345316400,0
196,1,1345320000,3
197,1,1345323600,5
198,1,1345327200,7
199,1,1345330800,10
200,1,1345334400,8
201,1,1345338000,5
202,1,1345341600,5
203,1,1345345200,7
204,1,1345348800,6
205,1,1345352400,2
206,1,1345356000,2
207,1,1345359600,3
208,1,1345363200,2
209,1,1345366800,2
