,bs,time_hour,users
0,0,1345305600,0
1,0,1345309200,0
2,0,1345312800,1
3,0,1345316400,2
4,0,1345320000,1
5,0,1345323600,2
6,0,1345327200,1
7,0,1345330800,2
8,0,1345334400,2
9,0,1345338000,3
10,0,1345341600,2
11,0,1345345200,3
12,0,1345348800,2
13,0,1345352400,3
14,0,1345356000,3
15,0,1345359600,3
16,0,1345363200,4
17,0,1345366800,2
18,0,1345370400,4
19,0,1345374000,3
20,0,1345377600,2
21,0,1345381200,2
22,0,1345384800,2
23,0,1345388400,0
24,0,1345392000,1
25,0,1345395600,0
26,0,1345399200,0
27,0,1345402800,0
28,0,1345406400,0
29,0,1345410000,1
30,0,1345413600,2
31,0,1345417200,1
32,0,1345420800,2
33,0,1345424400,1
34,0,1345428000,2
35,0,1345431600,3
36,0,1345435200,2
37,0,1345438800,3
38,0,1345442400,3
39,0,1345446000,2
40,0,1345449600,5
41,0,1345453200,5
42,0,1345456800,3
43,0,1345460400,4
44,0,1345464000,2
45,0,1345467600,4
46,0,1345471200,3
47,0,1345474800,2
48,0,1345478400,1
49,0,1345482000,0
50,0,1345485600,0
51,0,1345489200,0
52,0,1345492800,0
53,0,1345496400,1
54,0,1345500000,2
55,0,1345503600,1
56,0,1345507200,2
57,0,1345510800,2
58,0,1345514400,2
59,0,1345518000,3
60,0,1345521600,2
61,0,1345525200,1
62,0,1345528800,2
63,0,1345532400,3
64,0,1345536000,3
65,0,1345539600,6
66,0,1345543200,3
67,0,1345546800,4
68,0,1345550400,2
69,0,1345554000,3
70,0,1345557600,2
71,0,1345561200,2
72,0,1345564800,1
73,0,1345568400,1
74,0,1345572000,0
75,0,1345575600,0
76,0,1345579200,0
77,0,1345582800,0
78,0,1345586400,1
79,0,1345590000,1
80,0,1345593600,2
81,0,1345597200,1
82,0,1345600800,4
83,0,1345604400,2
84,0,1345608000,3
85,0,1345611600,1
86,0,1345615200,3
87,0,1345618800,4
88,0,1345622400,3
89,0,1345626000,4
90,0,1345629600,5
91,0,1345633200,2
92,0,1345636800,2
93,0,1345640400,2
94,0,1345644000,3
95,0,1345647600,2
96,0,1345651200,1
97,0,1345654800,1
98,0,1345658400,0
99,0,1345662000,0
100,0,1345665600,0
101,0,1345669200,0
102,0,1345672800,1
103,0,1345676400,1
104,0,1345680000,2
105,0,1345683600,3
106,0,1345687200,2
107,0,1345690800,3
108,0,1345694400,2
109,0,1345698000,4
110,0,1345701600,3
111,0,1345705200,3
112,0,1345708800,3
113,0,1345712400,6
114,0,1345716000,3
115,0,1345719600,4
116,0,1345723200,2
117,0,1345726800,2
118,0,1345730400,3
119,0,1345734000,2
120,0,1345737600,1
121,0,1345741200,1
122,0,1345744800,0
123,0,1345748400,0
124,0,1345752000,0
125,0,1345755600,1
126,0,1345759200,2
127,0,1345762800,1
128,0,1345766400,2
129,0,1345770000,1
130,0,1345773600,2
131,0,1345777200,2
132,0,1345780800,3
133,0,1345784400,2
134,0,1345788000,3
135,0,1345791600,4
136,0,1345795200,3
137,0,1345798800,3
138,0,1345802400,2
139,0,1345806000,2
140,0,1345809600,2
141,0,1345813200,4
142,0,1345816800,3
143,0,1345820400,3
144,0,1345824000,0
145,0,1345827600,0
146,0,1345831200,0
147,0,1345834800,1
148,0,1345838400,1
149,0,1345842000,2
150,0,1345845600,3
151,0,1345849200,2
152,0,1345852800,2
153,0,1345856400,3
154,0,1345860000,2
155,0,1345863600,3
156,0,1345867200,2
157,0,1345870800,3
158,0,1345874400,3
159,0,1345878000,3
160,0,1345881600,4
161,0,1345885200,2
162,0,1345888800,4
163,0,1345892400,3
164,0,1345896000,2
165,0,1345899600,1
166,0,1345903200,1
167,0,1345906800,1
168,0,1345910400,0
169,0,1345914000,0
170,0,1345917600,1
171,0,1345921200,2
172,0,1345924800,1
173,0,1345928400,2
174,0,1345932000,1
175,0,1345935600,2
176,0,1345939200,3
177,0,1345942800,2
178,0,1345946400,1
179,0,1345950000,2
180,0,1345953600,3
181,0,1345957200,3
182,0,1345960800,6
183,0,1345964400,3
184,0,1345968000,4
185,0,1345971600,2
186,0,1345975200,4
187,0,1345978800,3
188,0,1345982400,2
189,0,1345986000,1
190,0,1345989600,1
191,0,1345993200,1
192,1,1345305600,1
193,1,1345309200,1
194,1,1345312800,0
195,1,1345316400,1
196,1,1345320000,4
197,1,1345323600,9
198,1,1345327200,12
199,1,1345330800,16
200,1,1345334400,12
201,1,1345338000,9
202,1,1345341600,12
203,1,1345345200,11
204,1,1345348800,13
205,1,1345352400,9
206,1,1345356000,9
207,1,1345359600,6
208,1,1345363200,5
209,1,1345366800,7
